# Motion Design Studios: exported from Notion (collection fd4f344e-8001-4fed-a9e8-0f23ffc82f04)
#source: notion
#cols: name	href	city	style
NoGood	https://nogood.io/	New York NY;Los Angeles CA;Miami FL
Nomad Studio	https://www.nomadstudio.com/	London UK	TV/Movie-related
Noodle	https://www.noodleanimation.com/	Chicago IL
Not Real	https://notreal.tv/	Buenos Aires Argentina;Madrid Spain
Nubrand	https://nubrand.com/	Toronto ON
nymbl	https://www.nymbl.com/	Bristol UK
Octagon	https://www.octagon.com/	Sydney Australia;Ottawa ON;Paris France;Shanghai China;Tokyo JP;Johannesburg South Africa;Madrid Spain;London UK;Manchester UK;Los Angeles CA;Atlanta GA;Minneapolis MN
Oddbee	https://oddbee.com/	Toronto ON
Oddfellows	https://oddfellows.tv/	Portland OR;Los Angeles CA
Odi	https://odibrand.agency/	Richmond Hill GA
OK Motion Club	https://www.okmotion.club/	Atlanta GA
Okalpha	https://www.okalpha.co/	Cape Town South Africa
Onemethod	https://onemethod.com/	Toronto ON
Ordinary Folk	https://www.ordinaryfolk.co/	Vancouver BC
Ottoblix	https://www.ottoblix.com/	Montreal QC	TV/Movie-related
Pancho	https://pancho.com.au/	Melbourne Australia	Mostly 3D
Panic Studio	https://www.panicstudio.tv/en/	Riga Latvia
Panoply	https://panoply.co.uk/	London UK	Mostly 3D;TV/Movie-related
Parallel Studio	https://parallelstudio.tv/	Paris France
Passion	https://www.passion-pictures.com/	London UK;Paris France;Barcelona Spain	TV/Movie-related;Video game-related;Mostly 3D;Character-focused;Animation
Pentagram	https://www.pentagram.com/	London UK;New York NY
PepRally	http://peprally.co/	New York NY
Perception	https://www.experienceperception.com/index.html	Secaucus NJ	UI/UX
Petrick	https://petrick.co/	Moscow Russia
Pixelfarm	https://www.pixelfarm.com/	Minneapolis MN
Plasticbionic	https://plasticbionic.com/	Berlin Germany;Nantes France	Mostly 3D
Play Studio	https://www.play.studio/	San Francisco CA
Playground Inc.	https://playgroundinc.com/	Toronto ON
PlayLab Inc.	https://www.playlab.org/	Los Angeles CA
Plenty	http://plenty.tv/	Buenos Aires Argentina;Barcelona Spain
PlusOne	https://plusoneamsterdam.com/About	Amsterdam NL
Polyester Studio	https://polyesterstudio.com/	Toronto ON
Prand	http://prand.tv/	Moscow Russia
Production Club	https://www.production.club/	Los Angeles CA	Installations
Profanity	https://www.profanity.tv/	Burlington VT
PSYOP	https://www.psyop.com/	New York NY;Los Angeles CA;Berlin Germany
Puncture	https://www.puncture.co/	Toronto ON
Push Collaborative	https://www.pushcollaborative.com/	New York NY;San Francisco CA	Explainer videos
Radar Studios	https://www.radarstudios.com/	Chicago IL	Video production;Mostly 3D
Radio	https://www.madebyradio.com/	London UK;Cape Town South Africa
Ranger & Fox	https://www.rangerandfox.tv/	Los Angeles CA
reactiv	http://www.getreactiv.com/	Toronto ON
Red Antler	https://redantler.com	New York NY
Reflektor Digital	https://reflektor.digital/	Toronto ON
Relay Studio	https://relaystudio.co/	Copenhagen Denmark
Resolute	https://www.resolutestudio.com/	Milan Italy	Mostly 3D;High-end/luxury product renders
Rise Branding	https://risebranding.com/	Toronto ON
Robin	https://www.androbin.co/	Los Angeles CA
Rocket Motion	https://rocketmotion.co/	Moscow Russia	Explainer videos
Rocketpanda	https://www.therocketpanda.com/	Verona Italy
Roger	https://roger.tv/	Los Angeles CA
ROOF Studio	https://roofstudio.tv/	New York NY
RUN Studios	https://www.runstudios.com/	Seattle WA;Los Angeles CA;New York NY;Kansas City MO	Video production
Sail Ho Studio	https://sailhostudio.com/	Amsterdam NL;Milan Italy;Rome Italy	Character-focused
Salamandra	https://www.salamandra.uk/	Eton UK;Dundee UK;San Francisco CA
sandbox	https://www.sandboxinc.ca/	Toronto ON
Sarofsky	https://www.sarofsky.com/	Chicago IL	TV/Movie-related
Scholar	https://www.helloscholar.com/	New York NY;Los Angeles CA
SDCO	https://sdcopartners.com/	Charleston SC
Seed	https://www.seedanimation.com/	London UK
Serial Cut	https://serialcut.com/	Madrid Spain
Shine	http://shinestudio.com/	Los Angeles CA	TV/Movie-related
Shotopop	https://shotopop.com/	London UK	Animation
Sibling Rivalry	https://siblingrivalry.com/	New York NY
Sid Lee	https://sidlee.com/en	Los Angeles CA;New York NY;Paris France;Montreal QC;Toronto ON;London UK;Seattle WA
Simple Story	https://simplestoryvideos.com/	Ottawa ON
Sircle Media	https://www.sircle.me/	New York NY
Six Cinquième	https://www.sixcinquieme.com/	Montreal QC
Smoosh Creative	https://www.smooshcreative.com/	Melbourne Australia
Soma	https://www.somastudios.co/	Melbourne Australia
Spillt	https://www.spillt.com/	Denver CO
Stage3	https://stage3agency.com	Pasadena CA	Mostly 3D;High-end/luxury product renders
State	http://statedesign.tv/	Los Angeles CA	Animation
Statler & Waldort	https://www.statlerandwaldorf.co.uk/	Southampton UK
Steps	https://www.studiosteps.co/	Melbourne Australia
Stormy Studio	https://stormystudio.com/	Devon UK
Strange Beast	https://www.strangebeast.tv/	London UK
Studio Feather	https://studiofeather.com/	Toronto ON
Studio Helga	https://www.studiohelga.co.uk/	Saughall UK
Studio Ianus	http://www.studioianus.it/	Milan Italy
Studio Mals	https://www.studiomals.com/	Rotterdam Netherlands	Mostly 3D
Studio Mega	https://studiomega.com/	Portland OR
Studio Rodrigo	http://studiorodrigo.com/	New York NY	Product design
Stylo Creative	http://stylocreative.com/	Los Angeles CA	Mostly 3D
Substance	https://sbstnc.co/	Sydney Australia
